,Cena,Cena za jednotku,Dispozice,Dostupné od,GPS coordinates,Images,Konstrukce budovy,Nízkoenergetický,PENB,Plocha pozemku,Podlaží,Poloha domu,Poloha rekreačního objektu,Property Description,Property Name,Provedení,Rekonstrukce,Rizika,Stav,Stáří,Typ pozemku,URL,Umístění,Užitná plocha,Vlastnictví,Vybaveno,Vytápění,id,listing_hash,Číslo inzerátu
Energie,4 000 000 Kč,294 Kč/ m2,,,"49.65974722222,13.58946944444",N/A,,,,13 600,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi stavební pozemek v katastrálním území Kornatice, LV č. 232 o výměře 13600 m2.Parcela č. 95/137 - o výměře 10402m² (Orná půda)Parcela č. 95/107 - o výměře 3198m² (Orná půda)Na pozemek je přístup zajištěn přes pozemky obce.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Stavební,https://www.bezrealitky.cz/nemovitosti-byty-domy/911250-nabidka-prodej-pozemku,Klidná část,,,,,911250,9e3c8da41b4bbdf45dcade5882735a3d6b1ce2334512681f0da6106c203e69ab,911250
MHD 3 minuty pěšky,2 500 000 Kč,104 167 Kč/ m2,1+kk,25. 4. 2025,"49.3363213,18.0198775",N/A,Panel,,G - Mimořádně nehospodárná,,9. podlaží z 9,,,"Prodej bytu 1+kk, 24 m², Vsetín – ul. JasenickáNabízím k prodeji krásný, kompletně zrekonstruovaný střešní byt 1+kk o velikosti 24 m² ve Vsetíně na ulici Jasenická. Byt v osobním vlastnictví se nachází v posledním (9.) patře na střeše panelového domu s výtahem a nabízí nádherný výhled do údolí Vsetínských vrchů.Byt prošel kompletní a kvalitní rekonstrukcí:- Nová kuchyňská linka s vestavěnými spotřebiči- Kompletně nová koupelna – obklady, dlažba, baterie, sprchový kout- Samostatné WC – nové závěsné WC Geberit- Nové podlahy v celém bytě – nivelací srovnány do jedné úrovně, v hlavním pokoji i nově vybetonované- Nové omítky a výmalba- Nové rozvody elektřiny i vody- V hlavním pokoji dálkově ovládané světlo- Součástí bytu je klimatizaceK bytu náleží také standardní sklepní kóje o velikosti 1 m².Dům prošel kompletní revitalizací – zateplení fasády, nová střecha, a celkově je ve velmi dobrém technickém stavu.V domě nedávno proběhla rekonstrukce všech vchodových dveří do jednotlivých bytů podle nejnovějších bezpečnostních norem.Velkou výhodou je výborně hospodařící SVJ, které nemá žádný dluh a úpravy vnitřních prostor financuje ze svých úspor. V celém domě panují dobré vztahy mezi sousedy a domovnice je velmi příjemná a ochotná milá paní, upřednostníme tedy zájemce, který do takového prostředí rád zapadne.Další výhodou bytu jsou velmi nízké náklady na energie:- cca 2 500 Kč měsíčně pro 1 osobu včetně elektřiny a fondu oprav (konečná částka všech záloh)- cca 3 300 Kč měsíčně celkem pro 2 osoby včetně elektřiny a fondu oprav (konečná částka všech záloh)Byt je ideální volbou pro jednotlivce, pár, nebo jako výhodná investice na pronájem. Klidná a vyhledávaná lokalita Vsetín - Luh s dobrou dostupností do centra města, v blízkosti příroda, obchodní zóny i MHD.Pro více informací nebo domluvení osobní prohlídky mě neváhejte kontaktovat.Realitní kanceláře prosím nevolat. (!!!)K prodeji byt v osobním vlastnictví 1+kk 24m2 na ulici Jasenická, Vsetín.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/899738-nabidka-prodej-bytu-jasenicka-vsetin,Klidná část,24,Osobní,Částečně,,899738,0d2d4d6e2633aa5af5a52ce359555ecf555c6e8dc972c0ce55329dc6709aff5b,899738
Energie,219 000 Kč,28 Kč/ m2,,,"49.38659361111,15.32860722222",N/A,,,,7 780,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi louku v katastrálním území Sázava pod Křemešníkem, LV č. 5 o výměře 7780 m2.Parcela č. 404/2 - o výměře 7780 m2 (trvalý travní porost)Na pozemek je přístup zajištěn přes pozemky obce.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Louka,https://www.bezrealitky.cz/nemovitosti-byty-domy/911248-nabidka-prodej-pozemku,Klidná část,,,,,911248,70292494c27ce2c402cb3b7084758b0ba7dadd237907451202a4479b53218b9c,911248
Energie,249 000 Kč,67 Kč/ m2,,,"49.94143611111,14.80072777777",N/A,,,,3 741,,,,"Nabízíme Vám ke koupi pozemky v katastrálním území Černé Voděrady, LV 984 (kromě parcely č. 995/5) a 755, podíl 1/4 o výměře 3741 m2. Jedná se o prodej podílu, nikoliv 100% vlastnictví.Parcela č. 1125/66 - o výměře 2706 m2 (orná půda)Parcela č. 1125/72 - o výměře 7193 m2 (orná půda)Parcela č. 1125/51 - o výměře 4403 m2 (trvalý travní porost)Parcela č. 1124/8 - o výměře 32 m2 (zahrada)Parcela č. 1122/1 - o výměře 631 m2 (lesní pozemek)Jsme přímí majitelé pozemků, neplatíte tedy žádnou provizi. Zajišťujeme rychlý prodej - připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zaručíme Vám jednoduchý a transparentní prodej.",Prodej pozemku,,,,Velmi dobrý,,Pole,https://www.bezrealitky.cz/nemovitosti-byty-domy/911247-nabidka-prodej-pozemku,Klidná část,,,,,911247,b0f26dfee57e1932e2638c8a898137f0cb537cc3f5deb224a161f7c304e99091,911247
Energie,220 000 Kč,49 Kč/ m2,,,"49.89266388888,14.78526388888",N/A,,,,4 467,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi pole v katastrálním území Ondřejov u Prahy, LV 648, podíl 2/3 o výměře 4467 m2. Jedná se o prodej podílu, nikoliv 100% vlastnictví.Parcela č. 1943 - o výměře 6701m² (Orná půda)Na pozemek je přístup zajištěn přes pozemky obce.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Pole,https://www.bezrealitky.cz/nemovitosti-byty-domy/911246-nabidka-prodej-pozemku,Samota,,,,,911246,5839e2dfa77d3ae17e2b2356bb73bc2c4ec3ad06f9a63348bbf0fe59f1377045,911246
Energie,249 000 Kč,43 Kč/ m2,,,"50.15850277777,16.47062222222",N/A,,,,5 741,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi louku v katastrálním území Rokytnice v Orlických horách, LV č. 642 o výměře 5741 m2.Parcela č. 708/4 - o výměře 5741m² (Trvalý travní porost)Na pozemek je přístup zajištěn přes pozemky České republiky.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Louka,https://www.bezrealitky.cz/nemovitosti-byty-domy/911245-nabidka-prodej-pozemku,Klidná část,,,,,911245,6d659b5668ae1856aa0ad1649e0689b3653ab6c397427ec4b2d3a3d788e21813,911245
Energie,85 000 Kč,20 Kč/ m2,,,"49.94211111111,16.95467222222",N/A,,,,4 205,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi louku v katastrálním území Šumperk, LV 3754, podíl 3/4 o výměře 4205 m2. Jedná se o prodej podílu, nikoliv 100% vlastnictví.Parcela č. 2976/7 - o výměře 4732 m2 (trvalý travní porost)Parcela č. 2976/8 - o výměře 875 m2 (trvalý travní porost)Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Louka,https://www.bezrealitky.cz/nemovitosti-byty-domy/911244-nabidka-prodej-pozemku,Klidná část,,,,,911244,47aaabddbeeb3f1ea4d62f598f2ee5b87ea95e14fb3a055b3a459d30eabf3738,911244
Energie,1 249 000 Kč,29 Kč/ m2,,,"50.24955555555,12.42635",N/A,,,,43 342,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi louku v katastrálním území Opatov u Lubů, LV 684, podíl 1/3 o výměře 43342 m2. Jedná se o prodej podílu, nikoliv 100% vlastnictví.Parcela č. 744/12 - o výměře 78369m² (Orná půda)Parcela č. 744/3 - o výměře 17187m² (Trvalý travní porost)Parcela č. 95/8 - o výměře 502m² (Trvalý travní porost)Parcela č. 95/7 - o výměře 2781m² (Trvalý travní porost)Parcela č. 70/2 - o výměře 22922m² (Trvalý travní porost)Parcela č. 122/4 - o výměře 2554m² (Trvalý travní porost)Parcela č. 820/8 - o výměře 1135m² (Lesní pozemek)Parcela č. 816/3 - o výměře 1087m² (Lesní pozemek)Parcela č. 820/10 - o výměře 2177m² (Lesní pozemek)Parcela č. 820/9 - o výměře 833m² (Lesní pozemek)Parcela č. 124 - o výměře 480m² (Vodní Plocha)Na pozemek je přístup zajištěn přes pozemky České republiky.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Louka,https://www.bezrealitky.cz/nemovitosti-byty-domy/911243-nabidka-prodej-pozemku,Klidná část,,,,,911243,bcf2d77ad726aa3ea27ec4673581faf2e6c53472303ef8d95169f9f3c9621341,911243
MHD 2 minuty pěšky,4 390 000 Kč,82 830 Kč/ m2,2+1,2. 6. 2025,"49.754608,13.4243847",N/A,Panel,,C - Úsporná,,3. podlaží z 8,,,"Nabízím k prodeji svůj osobní byt 2+1 v panelovém domě, který se nachází ve třetím patře osmi podlaží. Byt o dispozici 2+1 a celkové ploše 53 m² je udržovaný ve stavu původním ale dobrém a nabízí pohodlné bydlení s minimálními náklady typického panelového domu. Nemovitost je nevybavená, což umožňuje nový majitel ji zařídit podle vlastních představ. Součástí bytu je také sklep o ploše 1,5 m², který poskytne praktické úložné prostory. V domě je k dispozici výtah a parkování pro obyvatele, což výrazně zvyšuje komfort bydlení. Mohu zajistit levnou rekonstrukci. Do bytu je možno se nastěhovat po podpisu kupní smlouvy. Při rychlém jednání možná sleva. foto emailem na vyžádání.Pro bližší informace či sjednání prohlídky je možné mě kontaktovat skrz zprávy na komunikační platformě.",Prodej bytu,,,Prověřit »,Dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911242-nabidka-prodej-bytu-na-dlouhych-plzen,Okraj,53,Osobní,Nevybaveno,,911242,2711020fd87ecc5e4a570263069af3e948b3bf1b0a6c248624bf8fb1db9e224a,911242
Parkování,3 650 000 Kč,67 593 Kč/ m2,2+1,2. 6. 2025,"49.7864197,18.2624977",N/A,Panel,,B - Velmi úsporná,,4. podlaží z 11,,,"Prodej bytu 2 + 1 s pracovnou/šatnou, 53,9 m² – Ostrava-Hrabůvka, Dr. Martínka – po rekonstrukci dle projektu, Osobní vlastnictví________________________________________Nabízíme k prodeji kompletně zrekonstruovaný byt 2 + 1 s pracovnou/šatnou o ploše 53,86 m², nacházející se v klidné části Ostravy-Hrabůvky, ul. Dr. Martínka. Byt je umístěn v 4 nadzemním podlaží zatepleného panelového domu s výtahem.➡️ Možnost okamžitého převodu do osobního vlastnictví – vhodné i pro hypoteční financování.________________________________________️ DISPOZICE•	Obývací pokoj – světlý•	Samostatná kuchyň – připraveny rozvody vody, elektřiny i odpadu, včetně přípravy na pračku•	Ložnice – prostor pro manželskou postel i šatní skříň•	Pracovna / šatna – samostatná místnost vhodná jako domácí kancelář či úložný prostor•	Koupelna – plně dokončená, s prostorným sprchovým koutem a umyvadlem•	Samostatné WC Geberit•	Vstupní chodba – místo pro vestavěné skříněSoučástí je sklepní kóje. Byt nemá balkon.________________________________________⚙️ TECHNICKÝ STAV•	Kompletní rekonstrukce dle architektonického návrhu•	Nové rozvody elektřiny, vody a odpadů•	Vinylové podlahy, dlažba v koupelně a WC•	Sádrokartonové podhledy s přípravou pro LED osvětlení•	Bezpečnostní vstupní dveře•	Plastová okna se žaluziemi•	Orientace: jihozápad – dostatek denního světla po celý denKuchyňská linka a vestavěné skříně nejsou součástí prodeje – kupující si je může zvolit dle vlastního stylu.Projektová dokumentace (návrhy kuchyně, nábytku atd.) je součástí ceny.________________________________________DŮM A OKOLÍ•	Panelový dům po revitalizaci: zateplení, nové stoupačky, čipový vstup•	Bezproblémové parkování u domu•	MHD do 3 minut, nájezd na D1 do 5 minut•	Kompletní občanská vybavenost v okolí: školy, školky, obchody, lékař, pošta, Bělský les________________________________________CENA A FINANCOVÁNÍ•	Byt bez anuity, převod do osobního vlastnictví možný ihned________________________________________Elegantně zrekonstruovaný byt připravený k nastěhování. Díky projektu a volbě vlastního vybavení si nový majitel může doladit interiér podle svých představ. Skvělá poloha, klid a perfektní dostupnost.________________________________________⚖️ PRÁVNÍ SDĚLENÍVeškeré zveřejněné údaje v tomto inzerátu mají pouze informativní charakter a nejsou návrhem na uzavření smlouvy ve smyslu § 1731 nebo § 1732 občanského zákoníku, ani veřejným příslibem dle § 1733 občanského zákoníku.Měsíční náklady (fond oprav a zálohy) – 4 468 Kč❗ Prosím, realitní kanceláře, navolávače a zprostředkovatele – nekontaktujte mě. Ušetříte čas sobě i mně. Děkuji za pochopení.",Prodej bytu,,Kompletní,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/911225-nabidka-prodej-bytu-dr-martinka-ostrava,Sídliště,54,Osobní,Nevybaveno,Ústřední,911225,f68f1a929e25e1b58573249d7f1db7c06c42003cf0f13d6945662b0b9a9aae6a,911225
Energie,7 799 000 Kč,139 268 Kč/ m2,3+kk,2. 5. 2025,"50.0831723,14.5015588",N/A,Panel,,C - Úsporná,,6. podlaží z 6,,,"Nabízím k prodeji krásný byt o dispozici 3kk po rekonstrukci v osobním vlastnictví. Nemovitost se nachází v 6.  patře zrevitalizovaného, panelového domu s výtahem. Byt prodává přímo majitel, zájemce neplatí provizi.Rozloha bytu je 56 m2, k bytu náleží sklep.Dispozici bytu tvoří dvě neprůchozí ložnice, obývací pokoj spojený s kuchyní, prostorná koupelna se sprchovým koutem, samostatný záchod a technická místnost.Vytápění bytu je dálkové, ústřední.V okolí bytu naleznete veškerou občanskou vybavenost.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/901720-nabidka-prodej-bytu-karanska-hlavni-mesto-praha,Klidná část,56,Osobní,Částečně,,901720,346a63ea953a694cc8a9731e30f29aaad33057a0be0e05ab6eb4a2888f7326d2,901720
Energie,49 000 Kč,48 Kč/ m2,,,"48.926422,16.80251",N/A,,,,1 014,,,,"Již 10 let jsme vaše pravá ruka přes investice do pozemků. Připojte se i vy k celé řadě investorů, kteří v pozemcích našli stabilní a výnosnou investici.Nabízíme Vám ke koupi pole v katastrálním území Velké Pavlovice, LV č. 11590 o výměře 1014 m2.Parcela č. 4897 - o výměře 1014m² (Orná půda)Na pozemek je přístup zajištěn přes pozemky města.Jsme přímí majitelé pozemku, neplatíte tedy žádnou provizi. Připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zajistíme Vám jednoduchý a transparentní nákupní proces.Vlastník si vyhrazuje právo prodat nejvyšší nabídce.Nepropásněte unikátní příležitost, zavolejte a dozvíte se o tomto pozemku více informací.",Prodej pozemku,,,,Velmi dobrý,,Pole,https://www.bezrealitky.cz/nemovitosti-byty-domy/911241-nabidka-prodej-pozemku,Samota,,,,,911241,c4902c98441ed344695b7422954a78606715885626ef44c7ec92afc64939abce,911241
Výtah,7 490 000 Kč,117 031 Kč/ m2,3+kk,1. 11. 2024,"50.0669039,14.3081935",N/A,Panel,,C - Úsporná,,1. podlaží z 11,,,"Prodej prostorného, světlého bytu po rekonstrukci v přízemí  3+kk  (obývací pokoj s kuchyňským koutem, ložnice, dětský pokoj se vstupem do lodžie a hala se vstupem do koupelny s nadstandartním sprchovým koutem včetně WC a bidetu zvlášť) a dále bezpečnostními vchodovými dveřmi.Výhodou je sklep o patro níže. Lodžie má výhled na dětské hřiště.Plná občanská vybavenost (3x škola, 3x školka, služby jako obchodní dům, zdravotnické středisko do 5 min chůze). Dopravní spojení MHD (5 minutová chůze na tram směr metro Motol a centrum, 1 minutová autobusová zastávka směr Zličín, Bílá hora/Stodůlky, Luka, atd.). Prostory pro volnočasové aktivity, posilovna a masážní služby, bazén, atd.Pokud hledáte moderní bydlení s dobrou dostupností a dostupným parkováním u domu, neváhejte mě kontaktovat skrz zprávy pro více informací či prohlídku.",Prodej bytu,,,Prověřit »,Velmi dobrý,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/858697-nabidka-prodej-bytu-simonova-hlavni-mesto-praha,Klidná část,64,,Částečně,,858697,44685cb19c6b39df65778a07e3b3da3174d1f020d4a8ed522647dbdeec8a1078,858697
Energie,40 385 000 Kč,3 145 Kč/ m2,,,"49.797084,18.227017",N/A,,,,12 840,,,,"Hledáte pozemek na strategickém místě uprostřed komerční zóny? Nabízíme Vám exkluzivní investiční příležitost v jedné z nejrychleji se rozvíjejících oblastí Ostravy – Zábřehu nad Odrou, v bezprostřední blízkosti obchodního centra Avion Shopping Park.Pozemky jsou určeny především pro průmyslovou výrobu, sklady, obchody, logistiku a související administrativní zázemí.Strategické umístění:•	výborná viditelnost z hlavní silnice•	sousedství s obchodní zónou•	blízkost klíčové infrastruktury a služeb•	potenciál pro vazbu na logistiku, výrobu či rozšíření okolních komerčních plochPozn.: Přístupová komunikace zatím není dořešena – jedná se však o řešitelný technicko-právní aspekt v rámci plánování a výstavby.Proč je tato nabídka výjimečná?•	Prémiová poloha v rámci Ostravy – nedostatek obdobně situovaných průmyslových ploch•	Příležitost pro investory i okolní developery – možnost přikoupení a rozšíření stávajících areálů•	Flexibilní využití v rámci územního plánu•	Okolí tvoří zavedené provozovny, sklady, showroomy a nákupní centra•	Stabilní výnosový potenciál pro budoucí výstavbu výrobních nebo logistických prostorůZajišťujeme rychlý prodej - připravíme kupní smlouvy a v případě zájmu Vám zajistíme ostatní právní služby. Zaručíme Vám jednoduchý a transparentní prodej.Zaujala Vás tato nabídka? Kontaktujte mě pro více informací o pozemcích a staňte se součástí rozvoje jedné z nejatraktivnějších průmyslových lokalit Ostravy.",Prodej pozemku,,,,Velmi dobrý,,Komerční,https://www.bezrealitky.cz/nemovitosti-byty-domy/911239-nabidka-prodej-pozemku,Polosamota,,,,,911239,ddaf11d0af777e7fb14c3ee5f246302c1f39cf9249580f5405dd379adc31bfe3,911239
Energie,7 990 000 Kč,94 000 Kč/ m2,2+kk,15. 6. 2025,"49.9318331,14.5267838",N/A,Cihla,,C - Úsporná,777,,,Samostatný,"Chcete bydlet v klidném místě v krásné přírodě, ale v blízkosti Prahy?Nabízíme k prodeji novostavbu domu z roku 2022, 2+k.k., 85 m2 . Dům je veden jako rekreační objekt s číslem evidenčním, ale je postaven k pohodlnému celoročnímu bydlení. Rovněž lze využít pro komfortní celoroční rekreaci. Je postaven z kvalitních materiálů  a dobře zateplen, okna jsou šestikomorová izolační trojskla Vekra, střešní okna Velux, střešní krytina Tondach.  Vytápění elektrokotlem na dálkové ovládání, v přízemí je podlahové topení, v patře radiátory. Je však možné topit i výkonnými krbovými kamny, která rychle vytopí celý objekt a navíc vytvářejí příjemnou atmosféru. Kuchyňská linka byla vyrobena na míru a je vybavena vestavnými spotřebiči (indukční deska, trouba, myčka Electrolux  a mikrovlnná trouba). Podlahová krytina dlažba a vinyl. Ohřev vody bojlerem, odpad je řešen jímkou. Voda je čerpána z nově vyvrtané 60 m studny a je upravena filtračním systémem. V domě je 2x toaleta, koupelna s vanou i sprchovým koutem, technická místnost pro umístění elektrokotle, bojleru, pračky atd., šatna.Dům je umístěn na klidném místě u lesa s nádherným výhledem do zalesněného údolí, na okraji chatové osady, kde jsou původní chaty postupně přeměňovány na domy k trvalému bydlení.  Bydlení je vhodné pro milovníky klidu a přírody. Příjezdové cesty jsou nezpevněné, parkování na pozemku. Zahrada je umístěna na svažitém pozemku upraveném terasami, osázena keři, trvalkami a ovocnými stromky. Pro zalévání jsou zde dvě velké retenční nádrže na dešťovou vodu.Výhodná lokalita s dobrou dopravní dostupností do Prahy. Občanská vybavenost a  nákupní možnosti jsou v blízkých Psárech, větší supermarkety (Lidl, Albert atd.) pak v 5 km vzdálené Jesenici u Prahy.","Prodej chaty, chalupy",,,,Novostavba,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/905351-nabidka-prodej-chaty-chalupy-psary,,85,Osobní,Vybaveno,,905351,7afeac5f01953a082e00591f2cb04522645b4be20e33da6c8d1de917df61104d,905351
Energie,2 290 000 Kč,15 903 Kč/ m2,4+1,24. 5. 2025,"49.6579887,15.4593623",N/A,Cihla,,F - Velmi nehospodárná,472,,Samostatný,,"Hledáte klid na Vysočině? Chalupa/RD v Pohledi čeká!Cena: 2.290.000 KčPředstavujeme jedinečnou příležitost ke koupi chalupy nebo rodinného domu v malebné obci Pohleď u Havlíčkova Brodu! Pokud toužíte po víkendové pohodě nebo bydlení v srdci Českomoravské vrchoviny s výhledem na rybník, tohle je nabídka pro vás!Tichá lokalita v severovýchodní části Českomoravské vrchoviny je ideálním útočištěm pro milovníky klidu, přírody a prostoru pro vlastní realizaci.Součástí prodeje je:Rodinný dům č.p. 36 s užitnou plochou 144 m²Pozemek 472 m²Možnost výhodného odkupu dalšího pozemku 129 m² přímo u rybníka!Dispozice domu 4+1 nabízí dostatek prostoru pro trvalé bydlení i víkendové úniky z města. K dispozici je:KoupelnaSamostatné WCDvě praktické spížeDřevěná přístavba se skladem, dřevníkem, dílnou a garáží – ráj pro kutily a chalupáře!Pod sedlovou střechou se nachází rozsáhlá půda s potenciálem pro další rozšíření obytných prostor. Dům je částečně podsklepen dvěma sklepy – jeden s přímým vstupem ze zahrady, druhý z interiéru.Nemovitost je napojena na veřejný vodovod a plyn (vytápění plynovými wawkami), má vlastní jímku a možnost připojení k internetu přes instalovanou telefonní linku. Vše připraveno pro pohodlný provoz i budoucí modernizaci.Obrovský potenciál pro rekonstrukci podle vašich představ!Dům je z venku zateplen a má plastová okna, střecha je cca 10 let stará. Uvnitř je nemovitost v původním stavu, což je ideální příležitost pro ty, kteří si chtějí vytvořit vlastní víkendový ráj přesně podle svého vkusu. Vdechněte tomuto domu nový život – ať už jako stylové venkovské sídlo nebo pohodlnou chalupu pro víkendové útěky.Obec Pohleď se nachází:5 minut od Světlé nad Sázavou15 minut od Havlíčkova Brodu60 minut od Prahy90 minut z BrnaCena: 2.490.000,- KčZaujala vás tato nabídka? Neváhejte mě kontaktovat pro více informací a prohlídku!V případě vážného zájmu volejte na číslo, na zprávy prosím nereaguji. RK nevolat !!",Prodej domu,,,Prověřit »,Před rekonstrukcí,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/908678-nabidka-prodej-domu-pohled,,144,Osobní,Nevybaveno,,908678,85239649b3783706c8f7994e8f25ff8a2a765783f2e847bd7b600da3203ae934,908678
Parkování,6 990 000 Kč,268 846 Kč/ m2,1+kk,31. 5. 2025,"50.0721325,14.4377271",N/A,Cihla,,G - Mimořádně nehospodárná,,2. podlaží z 7,,,"Developer Vám nabízí ke koupi byt č. 21 v projektu ""Rezidence Záhřebská 28"". Jedná se o 1+kk ve 2.NP s orientací na jiho-východ, do klidného dvora. Dispozice bytu: vstupní chodba, obývací pokoj s kuchyňským koutem, koupelna se sprchovým koutem a WC. K bytu náleží sklepní kóje.Dům, ve kterém se nabízený byt nalézá, leží v srdci pražských Vinohrad, nedaleko krásného parku Grébovka. V současnosti prochází rozsáhlou rekonstrukcí snažící se o zachování původního genia loci stavby z 30. let 20. století, ovšem s použitím moderních prvků, které Vám zaručí top kvalitu bydlení. Všechny byty v tomto projektu mají co možná nejúčelnější dispozice 1+kk a 2+kk. Součástí standardu jsou dubové parkety v obytných místnostech, kvalitní dlažba a obklady, sanitární technika od renomovaných výrobců, nové rozvody sítí a médií, nový topný systém atd.. Byt bude k nastěhování do 2 měsíců.Pro více informací, či domluvení nezávazné prohlídky, mě neváhejte kontaktovat!",Prodej bytu,,,Prověřit »,Po rekonstrukci,,,https://www.bezrealitky.cz/nemovitosti-byty-domy/898807-nabidka-prodej-bytu-zahrebska-hlavni-mesto-praha,Centrum,26,Osobní,Částečně,,898807,c759c8125df18e7e90815a84dca27f42b46cfa35a76c34cef71236808082ea72,898807
