Bezbariérový byt,Celková plocha,Celková plocha nebytových prostor,Cena,Charakter okolní zástavby,Další nebytové prostory,Dispozice,Doprava,Druh objektu,Druh pozemku,Druh prostor,Dílny a provozovny,Elektřina,Energetická náročnost budovy,GPS coordinates,Garáž,Images,Inženýrské sítě,K nastěhování,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Občanská vybavenost,Odpad,Ostatní rozvody,Plocha kanceláří,Plocha parcely,Plocha skladů,Plocha zahrady,Plyn,Podlahová plocha,Poloha objektu,Poznámka k ceně,Počet parkovacích míst,Počet podlaží pod zemí,Počet podlaží v objektu,Property Description,Property Name,Rok výstavby,Stav objektu,Telekomunikace,Topení,Typ domu,Typ nemovitosti,URL,Umístění objektu,Umístění v chráněných lokalitách,Upozornění,Užitná plocha,Vlastnictví,Voda,Vybaveno,Výtah,Zastavěná plocha,id,listing_hash,Číslo podlaží,Číslo zakázky
,,,"18 590 000
																		CZK/ za nemovitost",Obytná,,4+kk,MHD,Smíšená,,,,230 V,B,"50°03'56.3""N,14°23'30.4""E",Ano,N/A,,,,,Kanalizace,,,,,,Plynovod,130 m²,,včetně provize a pravniho servisu,,1,4,"Nabízím k prodeji luxusní nemovitost v Rezidenci Park Nikolajka Praha 5, Smíchov. Byt má dispozici 4+kk, rozlohu 111 m2 + 12 m2 lodžie + dvě parkovací stání v podzemí garáži a sklep 7,2 m2. Díky unikátní poloze na konci slepé ulice U Nikolajky jde o mimořádně klidné místo v zeleni. Lokalita ve svahu nad centrem Prahy poskytuje nádherné výhledy na město a dlouhodobě platí za velmi prestižní a vyhledávanou rezidenční adresu. Byt se skládá ze tří ložnic, obývacího pokoje, propojeného s jídelním prostorem a kuchyňskou linkou, šatny, samostatné toalety a ze dvou koupelen. Jedna koupelna je s hydromasážní vanou, ve druhé je sprchový kout a další toaleta. Na terasu je vstup z obývacího pokoje i z vedlejší ložnice a je orientovaná na jihozápad.Smíchov nabízí velmi příjemné bydlení, perfektní občanskou vybavenost a spoustu možností, jak trávit volný čas. K relaxaci, sportu a procházkám je možné využít například park Santoška na severním svahu Pavího vrchu, který se vypíná hned za domem, sportovní centrum Radlická (tenis, fotbal, squash, badminton, plavecký bazén), zimní stadion Nikolajka, Holmes Place Anděl a Smíchov, v Erpet GR golf, squash, tenis, volejbal, relax centrum) a mnoho dalších. Mnohé jistě také potěší nedaleké nábřeží Vltavy a převoz na druhý břeh k Žlutým lázním.","Prodej bytu 4+kk v osobním vlastnictví 130 m², Praha 5 - Smíchov(ID 315-NP00051)",,Velmi dobrý,,,,Byty,https://www.remax-czech.cz/reality/detail/415520/prodej-bytu-4-kk-v-osobnim-vlastnictvi-130-m2-praha-5-smichov,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,111 m²,Osobní,Dálkový rozvod,,Ano,,415520,0421b2da60f726af06d47ac8a7e34134f412d98eaa14384e246070cd783bb5be,2,ID 315-NP00051
,,,"19 300 000
																		CZK/ za nemovitost",,,,"Silnice, MHD, Autobus",Smíšená,,,,,G,"50°07'32.9""N,14°22'08.6""E",,N/A,,29. 5. 2025,,,Kanalizace,,,862 m²,,699 m²,Plynovod,,Řadový,,,,2,"Nabízím k prodeji vícegenerační rodinný dům v původním stavu v malebné lokalitě Lysolajích, přímo u revitalizovaného Lysolajského biotopu, který nabízí celoroční možnost koupání – v létě příjemné osvěžení, v zimě ideální podmínky pro otužování.Základní informaceTyp nemovitosti: Vícegenerační rodinný dům v původním stavuCelková plocha domu: 195,5 m²Zastavěná plocha: 163 m²Velikost pozemku: 862 m²Počet bytových jednotek: 3Přístup: Dvě strany – od biotopu a z ulice Lysolajské údolíSpodní patro domu:Byt 3+1 (86,5 m²) – Po vstupu do domu se nachází chodba, z níž je přístup do koupelny, samostatného WC a k plynovému kotli. Dále se vchází do samostatné kuchyně, která je průchozí do tří dalších pokojů.Byt 1+1 (30 m²) – Z hlavní chodby se vstupuje do obytné místnosti s přípravou na kuchyňský kout, nachází se zde také malá špajzka. Z této místnosti se následně vstupuje do ložnice.Horní patro:Byt 3+1 (79 m²) – Byt po částečné rekonstrukci. Z hlavního schodiště se vstupuje do chodby, odkud je přístup do kuchyně, samostatného pokoje, obývacího pokoje, z něhož se dále vstupuje do ložnice a koupelny. Z horního patra je vstup na prostornou půdu, která nabízí možnost vybudování další bytové jednotky.Lokalita a okolíLysolaje jsou klidnou městskou částí na severozápadním okraji Prahy, která nabízí:Šárecké údolíLysolajský biotop – přírodní jezírko s čistou vodou, ideální pro koupání a relaxaciPřírodní památka Housle – skalnatá rokle s naučnou stezkou, zázračná studánkaPřírodní park Šárka – Lysolaje – rozsáhlá přírodní oblast vhodná pro pěší a cyklistické výletyZákladní a mateřská školaDětské hřiště, sportovní areál LysolajeSportovní areál ČZUDostupnost:10 minut MHD na metro Dejvická a Bořislavka10 minut automobilem na Prahu 6 - metro Veleslavín, BořislavkaVlakové spojení z nedaleké stanice Praha-SedlecSnadný přístup na Pražský okruh a letiště Václava HavlaTechnické vybaveníStudna: Vlastní studna na pozemkuVytápění: Přiveden plyn (zdroj vytápění)Teplá voda: Elektrický bojlerCena: 19 300 000 Kč – včetně všech poplatků a kompletního právního servisu.Pro více informací a domluvení prohlídky mně neváhejte kontaktovat a budu se na Vás těšit.","Prodej domu 196 m², Praha 6 - Lysolaje(ID 218-NP06486)",,Před rekonstrukcí,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415519/prodej-domu-196-m2-praha-6-lysolaje,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,196 m²,,Dálkový rozvod,,,163 m²,415519,3578ee75c592746f6cc1fafe7360e64132b74ba01c8ed63024536b0c66c3ddbf,,ID 218-NP06486
Ano,230 m²,180 m²,"6 950 000
																		CZK/ za nemovitost",Obytná,180 m²,,"Silnice, Autobus",Cihlová,,,180 m²,"230 V, 400 V",G,,Ano,N/A,,9. 1. 2025,,,Kanalizace,,,1 333 m²,180 m²,12 397 m²,,,Samostatný,"Vybavený dům, vč. provize a právních služeb",,,2,"Nabízíme kompletně vybavenou chalupu o užitné ploše cca 230m² + hospodářské budovy cca 180m² na rozlehlé zahradě 1 333m² v krásné oblasti Křivoklátsko - vybavený dům s krásnou stodolou a velkou zahradou. Tato nemovitost se nachází v malebné obci Nezabudice nad Berounkou, pouhých 6km od Křivoklátu a 17km od města Rakovník, cesta do Prahy trvá jen 50 min. Okolí je známo svojí nedotčenou přírodou, hlubokými lesy a malebným údolím řeky Berounky.Dům byl postaven v r. 35 dle plánu architekta Snobla a nabízí řadu možností využití. Disponuje obývacím pokojem, kuchyní, pokojem, příjemnou společenskou místností a koupelnou v přízemí, v podkroví jsou 2 velké pokoje, druhá kuchyně a mnoho úložných prostor. K domu, který je možno využít jako dvougenerační, náleží také obrovský sklep.Hospodářské budovy ve skvělém stavu nabízejí další možnosti využití, například jako stáje pro koně nebo jako dílny pro řemeslníky, umělecký ateliér, adaptaci na krytý bazén, společenskou budovu atd. Součástí stodoly je další opravdu velký sklep, zahradní kuchyně s udírnou na kterou navazuje terasa s pergolou.Tato nemovitost je ideální pro rodiny hledající klidné bydlení v přírodě, ale také pro ty, kteří hledají možnosti pro rekreaci a turistiku. V okolí se nachází mnoho turistických tras a cyklostezek.Lokalita je také známá díky nedalekému legendárnímu Hostinci u Rozvědčíka, který otevřel v roce 1934 rodák z blízkých Nezabudic, Jaroslav Franěk, který byl za první světové války rozvědčíkem. Hostinec se stal kultovním místem trampů a turistů a byl také zmíněn v některých povídkách Otty Pavla. Romantika a kouzlo těchto míst se staly námětem jak známých literárních děl, tak i několika filmů.Více fotografií a dispozice s rozměry zašleme na vyžádání.Přijďte na nezávaznou prohlídku nemovitosti, krásného okolí a domluvení si ceny a financování dle Vašich možností. Po dohodě kdykoliv.","Prodej chaty / chalupy 230 m², Nezabudice(ID 256-NP00667)",,Velmi dobrý,,,Patrový,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415524/prodej-chaty-chalupy-230-m2-nezabudice,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,230 m²,,Zdroj pro celý objekt,Ano,,129 m²,415524,ddcee9e1472b006572b66b278c05cb4ab534bc330dd35f91814ecbd5996e3d64,,ID 256-NP00667
Ano,482 m²,,"3 500 000
																		CZK/ za nemovitost",Venkovská,,,,Cihlová,,Obchodní,,230 V,G,"49°36'42.1""N,17°17'34.8""E",,N/A,,,,,Septik,,482 m²,,,,,,,,,,2,"Nabízíme Vám skvělý objekt k podnikání či k bydlení, v katastru nemovitostí veden jako jiná stavba bez č.p a bez č.e. Jedná se o zděný objekt bývalé hospodářské budovy, na které byly kompletně nově udělány krovy a nově položena pozinkovaná střecha se zateplením – foukanou pěnou. Objekt je se sedlovou střechou, je dostatečně rozložitý, vnitřními příčkami rozdělen do tří samostatných prostor, které je možné po úpravě uzavřít či propojit dveřmi. Maximální využití objektu umožňuje i prostor pod sedlovou střechou, k níž vede nově zhotovené samonosné kovové schodiště. Na tomto patře je zhotovená nová prkenná podlaha. Celý podkrovní prostor je otevřený a vhodný k dalšímu standartnímu využití, neboť má dostatečnou výšku i na vestavbu kanceláří, ale i bydlení. Objekt je připojen k elektrické energii a má vlastní zdroj vody – studnu. Pozemek s objektem je veliký 482 m2 a je v katastru nemovitosti veden jako zastavěná plocha a nádvoří. K objektu vede po samostatném parcelním čísle účelová komunikace o velikosti 338 m2, ke které v rámci kupní ceny bude kupující podílovým spoluvlastníkem ve výši 1/3. V případě zájmu by bylo možné přikoupit ještě další sousedící pozemek o velikosti 988 m2 vedený v katastru nemovitosti jako zahrada, na kterém je nově založen ovocný sad. Objekt je možné využít k vlastní podnikatelské činnosti – zřídit si zde podnikatelské sídlo, kanceláře, využít prostor ke skladování apod. V územním plánu statutárního města Olomouc jsou tyto pozemky vedeny jako plochy smíšené obytné, takže by neměl být problém získat stavební povolení na stavbu RD či jiného objektu, např. k podnikání. Nabízí se zde možnost rekonstruovat objekt i na jiný typ využití – např. na bydlení či ubytovací zařízení pro zaměstnance, aj. Lokalita je velmi přívětivá k bydlení, ale i k podnikání, je zde klid, ale dosah a vymoženosti veškeré infrastruktury velkoměsta. Nedaleko je zastávka MHD, hřiště, fitness, školka, hasičská zbrojnice a aktivity místních dobrovolných hasičů, cyklostezka, restaurace, obchody, nemocnice, Svatý kopeček…. Pokud budete mít zájem, tak mě neváhejte kontaktovat k prohlídce či dalším podrobnostem.","Prodej obchodních prostor 482 m², Olomouc(ID 064-NP04055)",,Dobrý,,,Patrový,Komerční prostory,https://www.remax-czech.cz/reality/detail/415493/prodej-obchodnich-prostor-482-m2-olomouc,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,482 m²,415493,911e2133af8a8b1ad70461bbc722ffcaff1a7e5a629fda2c3083ae2f3a021061,,ID 064-NP04055
,,,"6 253 000
																		CZK/ za nemovitost",Obytná,,2+kk,"Vlak, Dálnice, Silnice, MHD, Autobus",Smíšená,,,,230 V,G,"50°02'58.2""N,14°26'51.9""E",,N/A,,1. 6. 2025,416,,Kanalizace,"Kabelová televize, Kabelové rozvody",,,,,Plynovod,52 m²,,,,1,5,"Bytová jednotka č. 22 ve 2. podlaží domu má praktickou dispozici 2+kk a podlahovou plochu 49,7 m². Orientovaná je na jih do ulice.K jednotce náleží vlastní sklepní kóje.Všichni obyvatelé domu mohou navíc využívat rozlehlou společnou zahradu lemovanou vzrostlými stromy, která díky tomu nabízí dostatek soukromí.Bytová jednotka ve stavu před rekonstrukcí nabízí příležitost vytvořit si bydlení ve vlastním stylu, anebo ideální investiční byt.Lokalita má obrovský potenciál pro spokojený život singles i mladých párů, prostřednictvím Bydlení Hanusova ho snadno naplníte. Mezi stanicemi metra Budějovická a Pankrác najdete celé spektrum restaurací, kaváren a příjemných podniků. Arkády Pankrác, OC DBK nebo ráj kutilů Bauhaus tady provází i další nákupní možnosti, provozovny služeb, zdravotnická zařízení, školy nebo sportoviště. Asi 4 kilometry dělí dům a Žluté lázně, legendární sportovně rekreační areál na břehu Vltavy s bohatým gastro zázemím.Potřebujete do centra? Skočte si na metro či autobus, zastávky Budějovická, Zelená liška i další leží nedaleko. Autem jste za pár minut na nájezdu na ulici Podolské nábřeží, chvilku to zabere také na nájezd na ulici 5. května s připojením na dálnici.Pro více informací a sjednání prohlídky mě kontaktujte ještě dnes.","Prodej bytu 2+kk v osobním vlastnictví 52 m², Praha 4 - Michle(ID 228-NP02303)",1 945,Před rekonstrukcí,"Telefon, Internet",,,Byty,https://www.remax-czech.cz/reality/detail/415511/prodej-bytu-2-kk-v-osobnim-vlastnictvi-52-m2-praha-4-michle,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,50 m²,Osobní,Dálkový rozvod,,,,415511,75f936b5afa744bf9a938d01f39cd7cbbc6346b814b15a5dded5698ac6935d7b,2,ID 228-NP02303
,904 m²,,"7 232 000
																		CZK/ za nemovitost",,,,,,Pro bydlení,,,,,"50°09'33.4""N,14°26'01.1""E",,N/A,"Vodovod, Elektřina",,,,,,,,,,,,,,,,,"V klidné části obce Zdiby - Praha východ, katastrální území Brnky - Zlatý kopec, nabízíme k prodeji slunný stavební pozemek o velikosti 904 m². Rovinatý pozemek je situovaný v ulici Zdibská na hranici prahy a je vzdálený pouhých 10 min autem od Pražské části Kobylis Prahy 8.Pozemek umožnuje napojení na vodovodní řád a elektrickou přípojku. Dle regulativ obce, se pozemek nachází v aktuálním uzemním plánu jako bydlení v rodinných domech (městské a příměstské), (izolované, dvojdomy a řadové domy) a součástí výstavby mohou být i vestavěné garáže. Maximální koeficient zastavění činí 25% plochy pozemku a výšková hladina nové zástavby na rozvojových plochách může dosahovat maximální výšky 8m. Dle přípustných funkcích v rámci obytných objektu, lze aplikovat jako vedlejší funkce, konzultační a poradenské činnosti, privátní ordinace a ateliéry. Příjezdová cesta je v podílovém vlastnictví majitele pozemku. Obec Zdiby nabízí plnou občanskou vybavenost, plno cyklostezek, přírody, procházek a pokud by Vám něco chybělo, tak Praha je vzdálená pouhých 10 min autem. Velkou výhodou je snadná dopravní dostupnost na dálnici D8. V pěší vzdálenosti od pozemku se nachází autobusová zastávka, která Vás přiblíží do centra obce Zdiby.S financováním Vám moc rádi pomůžeme.Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.V případě jakýkoliv dotazu nebo zájmu o prohlídku, jsem Vám plně k dispozici.","Prodej pozemku 904 m², Zdiby(ID 096-NP05636)",,,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415514/prodej-pozemku-904-m2-zdiby,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415514,cc4ea9a1398fb656dde8617d4b73ea8ecc9ce2e6a9d0b99e48c8739c029b9192,,ID 096-NP05636
,,,"16 000 000
																		CZK/ za nemovitost",Obytná,,,,Cihlová,,,,,G,"50°41'22.3""N,13°53'47""E",Ano,N/A,,29. 5. 2025,,,Kanalizace,,,1 422 m²,,789 m²,Plynovod,,Samostatný,,,,1,"Nabízíme k prodeji krásný rodinný dům na adrese Ulice 28. Října Č. p. 350, v části obce Unčín, obec Krupka, okres Teplice. Tento samostatný přízemní cihlový objekt o dispozici 5+KK se nachází na prostorném pozemku o rozloze 1422 m², což nabízí dostatek místa pro rodinné aktivity. Dům je v velmi dobrém stavu, s užitnou plochou 179 m², která je ideální pro pohodlné rodinné bydlení.Jednou z největších výhod této nemovitosti je dostatek prostoru nejen uvnitř, ale především na zahradě. Rozsáhlá zahrada o velikosti 789m2 poskytuje bezpečné prostředí pro děti, kde si mohou hrát a objevovat své okolí.Dům se dále pyšní moderním vybavením, které usnadní každodenní život. Vytápění podlahové vodní zajišťuje tepelné čerpadlo NIBE 2040/8, které zároveň poskytuje ohřev teplé vody. To výrazně přispívá k nízkým nákladům na energie.Dále se můžete těšit na soupravu pěti klimatizačních jednotek TOSHIBA Inverter Multi, která zajišťuje příjemné klima v každém ročním období. Rozvod IT datových sítí v každé místnosti umožní snadné připojení k internetu, což ocení nejen děti při domácím učení, ale i dospělí pro práci z domova.Bezpečnost je pro rodinu na prvním místě. Dům je vybaven kamerovým systémem, který pokrývá garáž i zahradu, a zabezpečovacím systémem ""Jablotron"" pro ochranu celého objektu.V blízkosti se nachází školky a školy, které jsou ideálním místem pro vzdělávání vašich dětí. Místní parky a dětská hřiště nabídnou řadu možností pro volnočasové aktivity. Rodiče jistě ocení i blízkost obchodů a služeb, které usnadňují každodenní nákupy.Dům má jednu garáž, což je další výhoda v dnešní době. Vzhledem k celkovému uspořádání nemovitosti je ideální pro rodiny s dětmi, které hledají místo pro šťastný a komfortní život.V případě zájmu o prohlídku nás neváhejte kontaktovat.","Prodej domu 242 m², Krupka(ID 094-NP06102)",,Velmi dobrý,,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415579/prodej-domu-242-m2-krupka,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,242 m²,,,,,633 m²,415579,a216a5b282dd84357a892e265ccb5a4c528dd9972334272e734a63902b067def,,ID 094-NP06102
,1 369 m²,,"6 990 000
																		CZK/ za nemovitost",,,,"Vlak, Dálnice, Silnice, Autobus",,Pro bydlení,,,,,"50°11'04.8""N,14°09'15.8""E",,N/A,"Vodovod, Kanalizace, Elektřina",,,,Kanalizace,,,,,,,,,,,,,"V exkluzivním zastoupení majitele nemovitosti Vám nabízíme prodej stavebního pozemku o výměře 1.369 m2, v obci Brandýsek, okres Kladno. Obec Brandýsek se nachází pár minut SZ od Prahy, v těsné blízkosti města Kladna a 15 km od města Slaný. Obec Vám poskytuje veškerou občanskou vybavenost, včetně MŠ, ZŠ, zdravotnického zařízení (dětský lékař, praktický lékař a zubař), lékárny, České pošty včetně Czech point, sboru dobrovolných hasičů, Sokol, Kulturního domu, knihovny, obchodů s potravinami a hospod. Skvělá dopravní dostupnost je zajištěna blízkostí dálnice D7 (cca 20 min autem do centra Prahy) a pravidelnými autobusovými i železničními spoji do Kladna, Kralup nad Vltavou a Prahy.Pozemek se nachází v klidné části obce, v zástavbě novostaveb - rodinných domů. Jedná se o pozemek obdelníkového tvaru a je určen pro výstavbu rodinného domu, dle územního plánu „BV“ Bydlení venkovské. K pozemku je vybudován vjezd ze zámkové dlažby, obecní zpevněná příjezdová komunikace (zámková dlažba), chodník a veřejné městské osvětlení. Inženýrské sítě elektřina, plyn, voda a tlaková kanalizace se nachází u pozemku. Konkrétně voda (Středočeské vodárny) na hranici pozemku 938/63 a 938/44. Kanalizace tlaková spadá pod Obec Brandýsek, pro tento pozemek je rezervované napojení na základě Smlouvy o smlouvě budoucí.BV Bydlení venkovské dle územního plánu Brandýsek:1) Hlavní využití: a) bydlení v rodinných domech izolovaných, b) oplocené zahrady s funkcí okrasnou, rekreační nebo užitkovou, c) veřejná prostranství včetně místních komunikací, pěších a cyklistických cest a ploch, veřejné zeleně, s prvky drobné architektury a mobiliáře2) Přípustné využití: a) pozemky a stavby drobného občanského vybavení, b) chovatelské a pěstitelské zázemí samozásobovacího charakteru, c) dětská hřiště a plochy sportovišť o výměře do 500 m2, d) garáže a odstavná místa související se zástavbou na pozemku, e) nezbytná související technická vybavenost, f)  na 50% celkové plochy lokality Z14c je přípustné bydlení v řadových rodinných domech3) Nepřípustné využití: a) veškeré stavby a činnosti, jejichž negativní účinky na životní prostředí překračují nad přípustnou mez limity uvedené v příslušných předpisech, b) veškeré stavby a činnosti neslučitelné a nesouvisející s hlavním a přípustným využitím4) Podmínky prostorového uspořádání: a) max. výšková hladina zástavby 2+P tzn. max. 2 nadzemní podlaží plus obytné podkroví a max. 1 podzemní podlaží, b) max. výšková hladina zástavby v lokalitě „Z1a“ je 1+P, c) koeficient zastavění pozemku max. 30% (v plochách stávající zástavby /stávajícíhozastavěného území max. 40 %, d) koeficient zeleně min. 40%, v plochách stávající zástavby bude stanoven individuálně, d) u staveb RD je požadováno jednoduché tvarové řešení střech, s vyloučením velkých množství vikýřů a vyloučením historizujících a zdobných prvků.Chcete si prohlédnout nemovitost nebo potřebujete více informací, neváhejte kontaktovat makléřku nemovitosti.","Prodej pozemku 1369 m², Brandýsek(ID 253-NP02158)",,,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415480/prodej-pozemku-1369-m2-brandysek,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415480,37938dd7a0c43029d172281a20de958415c80cd6b092fb5830da4e37308bbec5,,ID 253-NP02158
,,,"3 500 000
																		CZK/ za nemovitost",Obytná,,,"Silnice, Autobus",Cihlová,,,,"230 V, 400 V",,,Ano,N/A,,31. 5. 2025,,,,,,698 m²,,296 m²,,,Řadový,,1,2,2,"Nabízíme k prodeji rodinný dům v části obce Količín, v obci Holešov, okrese Kroměříž. Tento cihlový objekt, nacházející se v řadové zástavbě, je patrový se dvěma podlažími a nabízí více než pět pokojů, což z něj činí ideální prostor pro rodinné bydlení nebo jako investici s možností přestavby na více bytů.Dům je v současnosti v předrekonstrukčním stavu, což poskytuje novému majiteli jedinečnou příležitost přizpůsobit si interiéry podle svých představ a požadavků. S užitnou plochou 120 m² a zastavěnou plochou 698 m² se nabízí dostatek prostoru pro realizaci různých architektonických řešení.Součástí nemovitosti je rozlehlá zahrada se stromy, která poskytuje příjemné místo na odpočinek a relaxaci. V zahradě je také stodola, která může sloužit jako skladovací prostor nebo jako dílna pro vaše koníčky. Dále se zde nachází i podkroví a půda, které nabízejí další možnosti využití nebo úložného prostoru.K dispozici je také jedna garáž a parkovací místo, což znamená, že nebudete mít problém s parkováním vašich vozidel. Celková plocha parcely činí 698 m², což poskytuje dostatek prostoru pro zahradní úpravy, dětské hřiště nebo venkovní posezení.Nemovitost je situována v klidné a příjemné lokalitě s dobrou dostupností k občanské vybavenosti a ostatním službám. V okolí se nachází veškerá potřebná infrastruktura, což usnadní každodenní život.  V blízkosti se nachází nájezd na dálnici, což umožňuje rychlou dopravu směrem na Brno, Olomouc, Přerov a Zlín.Jedná o velmi klidné místo a že současný majitel si nejvíce cení soukromí na vnitřní zahradě.Tento dům představuje skvělou příležitost pro ty, kteří hledají prostorné bydlení s možností úprav dle vlastních představ. Investice do nemovitosti s potenciálem rekonstrukce může být velmi výhodná.V případě zájmu o prohlídku nás neváhejte kontaktovat.","Prodej domu 120 m², Holešov(ID 223-NP02823)",,Před rekonstrukcí,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415544/prodej-domu-120-m2-holesov,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,120 m²,,Dálkový rozvod,,,698 m²,415544,c3713bfcf1d818e97b28b0660eb676d33844058f2bdf507d25615e552df61609,,ID 223-NP02823
,,,"10 900 000
																		CZK/ za nemovitost",,,,,Smíšená,,,,230 V,G,"49°27'53.5""N,17°58'52.9""E",,N/A,,,,,Kanalizace,,,168 m²,,,Plynovod,,Řadový,,,,2,"Exkluzivní rodinný dům po kompletní luxusní rekonstrukci.V jedné z nejžádanějších lokalit  v prestižní čtvrti Štěpánov, nabízíme ke koupi výjimečný rodinný dům po kompletní a nákladné rekonstrukci dokončené v roce 2022.Vše v domě je zcela nové, pečlivě sladěné a dosud nikým nepoužité – připravené pro náročné zájemce, kteří hledají nadčasové a bezstarostné bydlení.Při vstupu do domu vás přivítá prostorná předsíň.Najdeme zde velkou multifunkční místnost, která dříve sloužila jako garáž – dnes ideální jako pracovna, ložnice pro hosty nebo ateliér. V přízemí se dále nachází toaleta a vstup do sklepních prostor.Sklepní prostory nebyly záměrně rekonstruovány – majitel zde plánoval vybudovat soukromé wellness se saunou a vířivkou, a tak ponechal novému majiteli možnost realizovat vlastní vizi relaxační zóny snů.Po vystoupání do patra vás okouzlí velkorysý a vzdušný obývací pokoj, spojený s moderní kuchyní vyrobenou na míru, která je osázena  špičkovými spotřebiči značky AEG – indukční varná deska, elegantní digestoř, mikrovlnná a horkovzdušná parní trouba, lednice a zabudovaná vakuovačka.Součástí vybavení domu je také moderní videotelefon umístěný u kuchyně, který vám umožní pohodlně sledovat a komunikovat s příchozími  hosty .Praktické, bezpečné a elegantní řešení, které zvyšuje komfort každodenního bydlení.Stylový krb obložený bílým mramorem umocňuje atmosféru tepla a pohodlí.Obývací pokoj je vybaven designovým LED podsvícením s možností dálkového ovládání a změny barev, což vytváří jedinečnou atmosféru podle vaší nálady.V patře dále naleznete tři samostatné pokoje – ložnici, dětský pokoj a pracovnu, ideálně uspořádané pro rodinné bydlení.Dětský pokoj zaujme zajímavým LED podsvícením, které dodává prostoru hravost a originalitu.Luxusní koupelna Vám nabídne každodenní relax v prostředí, které působí jako domácí spa.Před domem se nachází vlastní parkovací plocha, za domem pak útulná zahrada. Prostor postačí pro relax, grilování nebo vytvoření zeleného koutku.Lokalita je skvěle dostupná pěšky – v blízkosti najdete školy, školky, obchody i centrum města. Spojení komfortu, dostupnosti a soukromí tvoří ideální zázemí pro rodinu nebo pár, kteří touží po elegantním a pohodlném bydlení bez kompromisů.Technické informace•	Kompletní rekonstrukce  dokončená v roce 2022•	Nová fasáda, zateplení, nová okna•	Elektrické stahovací žaluzie s dálkovým ovládáním, reagující na teplotu i slunce, ovladatelné i přes mobil•	LED osvětlení s dálkovým ovládáním v hlavních obytných prostorech•	Nové podhledy a designové detaily•	Špičkové kuchyňské vybavení (AEG)Tento dům nabízí kombinaci luxusu, funkčnosti a promyšleného designu v jedné z nejprestižnějších adres ve Valašském Meziříčí. Ideální pro klienty, kteří hledají komfortní a reprezentativní bydlení bez kompromisů.Neváhejte mě kontaktovat pro více informací a domluvení osobní prohlídky.Tento dům si zaslouží vaši pozornost.Jitka Fröhlichová, Vaše realitní makléřka pro tuto oblast.","Prodej domu 119 m², Valašské Meziříčí(ID 133-NP02424)",,Po rekonstrukci,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415525/prodej-domu-119-m2-valasske-mezirici,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,119 m²,,Dálkový rozvod,,,79 m²,415525,a56ca4631c7c8f26bf3cebe5125fab3274002abc4b442c1b58b217de0f78ff74,,ID 133-NP02424
