ID,URL,Název nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,listing_hash,src_web,ins_dt,upd_dt,del_flag,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,K nastěhování,Elektřina,Odpad,Zastavěná plocha,Typ domu,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Voda,Vybaveno,Charakter okolní zástavby,Doprava,Garáž,Plyn,Telekomunikace,Umístění v chráněných lokalitách,Výtah,Bezbariérový byt,Plocha zahrady,Počet parkovacích míst,Počet podlaží pod zemí,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Ostatní rozvody,Občanská vybavenost,Plocha kanceláří,Vybavení kanceláří
409347,https://www.remax-czech.cz/reality/detail/409347/prodej-pozemku-21819-m2-hukvaldy,"Prodej pozemku 21819 m², Hukvaldy(ID 133-NP02377)","10 999 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 133-NP02377,Pro bydlení,21 819 m²,Vodovod,Pozemky,Klidná část obce,"49°37'12.7""N,18°13'07.2""E",9d7e0b941cd6b147207276856a87674d60727e7e5b966959e871f82712b80b6c,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414490,https://www.remax-czech.cz/reality/detail/414490/prodej-domu-115-m2-dolni-chvatliny,"Prodej domu 115 m², Dolní Chvatliny(ID 059-NP07517)","4 400 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 059-NP07517,,,,Domy a vily,,"49°58'50.8""N,15°04'14.1""E",d5987a701ed215e2f5cf27f44908d5925d0ee2700ebcc5455d559acf4113f334,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,115 m²,1 033 m²,Smíšená,Velmi dobrý,20. 5. 2025,"230 V, 400 V",Kanalizace,103 m²,Přízemní,G,,,,,,,,,,,,,,,,,,,,,,
414505,https://www.remax-czech.cz/reality/detail/414505/prodej-garaze-brno,"Prodej garáže, Brno(ID 163-NP04968)",Cena na vyžádání v kanceláři,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 163-NP04968,,,,"Malé objekty, garáže",Klidná část obce,,91d39187d7289bc1c100f90b431681156fc1c8f97d62eb78abe698cd377d8843,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,18 m²,,Cihlová,Dobrý,16. 5. 2025,,,,Přízemní,,,,,,,,,,,,,,,,,,,,,,,
414519,https://www.remax-czech.cz/reality/detail/414519/prodej-bytu-3-1-v-osobnim-vlastnictvi-79-m2-dobruska,"Prodej bytu 3+1 v osobním vlastnictví 79 m², Dobruška(ID 010-NP04790)","4 500 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04790,,,,Byty,Klidná část obce,"50°17'46.2""N,16°09'56.8""E",36794ad93afa9cbf98b291ffc6812cd7b0bb4707f8787d9e23fc59a5916b1d81,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,3,79 m²,,Cihlová,Velmi dobrý,,230 V,Kanalizace,438 m²,,G,3+1,1,79 m²,Osobní,Dálkový rozvod,Ano,,,,,,,,,,,,,,,,
414552,https://www.remax-czech.cz/reality/detail/414552/prodej-bytu-2-kk-v-osobnim-vlastnictvi-58-m2-harrachov,"Prodej bytu 2+kk v osobním vlastnictví 58 m², Harrachov(ID 273-NP03930)","7 450 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03930,,,,Byty,Klidná část obce,"50°46'38.4""N,15°24'49.8""E",57a635385cd4ae7b2bf4166565b922287d809ef30a2853e3ffba31402989c5f4,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,5,58 m²,,Smíšená,Velmi dobrý,1. 5. 2025,230 V,Kanalizace,437 m²,,G,2+kk,2,58 m²,Osobní,"Zdroj pro celý objekt, Dálkový rozvod",Ano,Obytná,"Vlak, Silnice, MHD, Autobus",Ano,Plynovod,Internet,Ochranné pásmo,Ano,,,,,,,,,
414527,https://www.remax-czech.cz/reality/detail/414527/prodej-ubytovaciho-zarizeni-536-m2-sedlec-prcice,"Prodej ubytovacího zařízení 536 m², Sedlec-Prčice(ID 176-NP01589)","13 700 000
																		CZK/ za nemovitost","Včetně DPH, provize a právních služeb",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 176-NP01589,,536 m²,,"Hotely, penziony a restaurace",,"49°33'49.2""N,14°31'35.6""E",629ff1c484fca8a99faff0080e4bba0ee169ceab38c230d5c40aae9092e2339a,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,2,536 m²,2 164 m²,Smíšená,Dobrý,,"230 V, 400 V",Čistička odpadních vod pro celý objekt,463 m²,Patrový,A,,,,,Dálkový rozvod,Ano,,"Silnice, Autobus",,Plynovod,,,,Ano,1 701 m²,10,1,49,,,,
414447,https://www.remax-czech.cz/reality/detail/414447/prodej-pozemku-595-m2-kaznejov,"Prodej pozemku 595 m², Kaznějov(ID 179-NP02302)","560 000
																		CZK/ za nemovitost",včetně provize a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 179-NP02302,Zahrada,595 m²,Elektřina,Pozemky,Klidná část obce,"49°53'49.1""N,13°23'12""E",0a64c9a6a0d8a50896a99cf5166fbb3316dc7d8cbad49f0adb48c30e3e0113c7,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,31. 5. 2025,230 V,,,,,,,,,Zdroj pro celý objekt,,,"Vlak, Silnice, Autobus",,,,,,,,,,,,,,
414502,https://www.remax-czech.cz/reality/detail/414502/prodej-pozemku-553-m2-vyzlovka,"Prodej pozemku 553 m², Vyžlovka(ID 010-NP04788)","6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04788,Pro bydlení,553 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,"49°59'07.3""N,14°47'25""E",162affa534951cd6697c9fc7994a9e81339abde4402565c83010882a64557955,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,,230 V,Kanalizace,,,,,,,,Dálkový rozvod,,,,,,,,,,,,,,,,,
414504,https://www.remax-czech.cz/reality/detail/414504/prodej-domu-263-m2-vyzlovka,"Prodej domu 263 m², Vyžlovka(ID 010-NP04789)","6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04789,,,,Domy a vily,Klidná část obce,"49°59'07.2""N,14°47'25""E",09607d43e95b07d3c8cd8f540d4b8197f701a10516dfd9b502eda0b8333ada30,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,263 m²,553 m²,Cihlová,Před rekonstrukcí,,230 V,Kanalizace,174 m²,Přízemní,C,,,,,Dálkový rozvod,,,,,,,,,,,,,,,,,
414501,https://www.remax-czech.cz/reality/detail/414501/prodej-domu-250-m2-korycany,"Prodej domu 250 m², Koryčany(ID 163-NP04966)","6 363 000
																		CZK/ za nemovitost",cena je uvedena bez dph,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 163-NP04966,,,,Domy a vily,,"49°05'32.3""N,17°07'47""E",a70a6ff22f673ca20ff79710dc94507910aa4770fdeadbb21b31a62b99337b49,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Řadový,1,250 m²,600 m²,Cihlová,Velmi dobrý,,"230 V, 400 V",Kanalizace,293 m²,Přízemní,G,,,,,Dálkový rozvod,,,,Ano,,,,,,,3,,,,,,
414544,https://www.remax-czech.cz/reality/detail/414544/prodej-chaty-chalupy-41-m2-opatovice-i,"Prodej chaty / chalupy 41 m², Opatovice I(ID 218-NP06447)","450 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06447,,41 m²,,Chaty a rekreační objekty,Polosamota,"49°50'53.9""N,15°14'47.6""E",46d5c4f5137c364a292526620e5005049e77246d645aee0f16ff9dc45c1fd51b,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Řadový,,41 m²,97 m²,Dřevěná,Dobrý,,"120 V, 230 V",,41 m²,Přízemní,G,,,,,,,,,,,,,,,,,,,,,,
414542,https://www.remax-czech.cz/reality/detail/414542/prodej-pozemku-851-m2-straskov-vodochody,"Prodej pozemku 851 m², Straškov-Vodochody(ID 273-NP03929)","3 750 000
																		CZK/ za nemovitost","vč.zpracované projektové dokumentace, stavebního povolení, právních služeb, či advokátní úschovy .",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03929,Pro bydlení,851 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,"50°21'32.7""N,14°15'15.2""E",cf86444036059c33ef4223a9335696869612329a13f3ffdb0b6af61d10f2fdd4,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,,"230 V, 400 V",Kanalizace,,,,,,,,,,,"Vlak, Dálnice, Silnice, Autobus",,,,,,,,,,,,,,
414514,https://www.remax-czech.cz/reality/detail/414514/prodej-bytu-2-kk-v-osobnim-vlastnictvi-52-m2-brno,"Prodej bytu 2+kk v osobním vlastnictví 52 m², Brno(ID 268-NP03033)","6 290 000
																		CZK/ za nemovitost",Včetně provize RK a právních služeb,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 268-NP03033,,,,Byty,Okraj obce,"49°10'21.9""N,16°41'28.4""E",49b58e0b311f03615972fbd705cf0133a4bb804f58e3b8d63da872936af792f4,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,5,50 m²,,Cihlová,Novostavba,,,Kanalizace,,,E,2+kk,1,52 m²,Osobní,Dálkový rozvod,,Obytná,,,,Internet,,Ano,Ano,44 m²,,,,,,,
414528,https://www.remax-czech.cz/reality/detail/414528/prodej-bytu-2-1-v-osobnim-vlastnictvi-53-m2-hlinsko,"Prodej bytu 2+1 v osobním vlastnictví 53 m², Hlinsko(ID 059-NP07518)","2 490 000
																		CZK/ za nemovitost",Cena včetně právních služeb a provize RK,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 059-NP07518,,,,Byty,Sídliště,"49°45'53.5""N,15°55'04""E",6c1cd014c128e109a964724ba1cdf05d0361fd51a3a55b4c03d285b820cb8e34,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,7,53 m²,,Cihlová,Dobrý,,230 V,Kanalizace,624 m²,,C,2+1,1,53 m²,Osobní,Dálkový rozvod,,Obytná,"Vlak, Silnice, Autobus",,Plynovod,,,Ano,,,,1,65,,,,
414512,https://www.remax-czech.cz/reality/detail/414512/prodej-pozemku-512-m2-cachrov,"Prodej pozemku 512 m², Čachrov(ID 179-NP02301)","2 100 000
																		CZK/ za nemovitost","vč. provize realitního zprostředkovatele, vč. základních právních služeb (návrh kupní smlouvy a smlouvy o advokátní úschově), bez správních poplatků za řízení na katastru nemovitostí",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 179-NP02301,Pro bydlení,512 m²,,Pozemky,Polosamota,"49°14'05.2""N,13°17'35.1""E",dcfe5c66931a9f8e2d2a3778d6957e1a0735b7a463adbca8c7948e5f66b31fe8,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,,230 V,,,,,,,,,,,,Silnice,,,,,,,,,,,,,,
414523,https://www.remax-czech.cz/reality/detail/414523/prodej-bytu-2-kk-v-osobnim-vlastnictvi-71-m2-praha-6-dejvice,"Prodej bytu 2+kk v osobním vlastnictví 71 m², Praha 6 - Dejvice(ID 175-NP01504)","9 309 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 175-NP01504,,,,Byty,,"50°06'02.9""N,14°23'21.6""E",78e940a38f453ad56227632dfd0437afc20e64371235e6af04425a182c3afc8e,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,6,49 m²,,Smíšená,Velmi dobrý,16. 5. 2025,,Kanalizace,287 m²,,G,2+kk,-1,71 m²,Osobní,,,,,,Plynovod,,,Ano,,20 m²,,,,,,,
414520,https://www.remax-czech.cz/reality/detail/414520/prodej-domu-100-m2-cesky-brod,"Prodej domu 100 m², Český Brod(ID 114-NP10075)","7 200 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 114-NP10075,,,,Domy a vily,Klidná část obce,,e3b8fcf2aca2b1e3969c7c13354123ba20f487c2579b0c91dda410d46d08a378,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Řadový,1,100 m²,261 m²,Smíšená,Velmi dobrý,,"230 V, 400 V","Kanalizace, Septik",115 m²,Patrový,G,,,,,Dálkový rozvod,,Obytná,"Vlak, Dálnice, Silnice, MHD, Autobus",Ano,Plynovod,"Telefon, Internet",,,,,,,,,,,
414500,https://www.remax-czech.cz/reality/detail/414500/prodej-domu-122-m2-jevany,"Prodej domu 122 m², Jevany(ID 205-NP11480)","13 900 000
																		CZK/ za nemovitost","cena včetně provize, právního servisu a všech poplatků",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 205-NP11480,,,,Domy a vily,Klidná část obce,"49°58'17.4""N,14°49'00.3""E",79423dee6c80a3549a4fb1ba197a197cce89350bbff52eacdda9251095926c78,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,122 m²,1 968 m²,Panelová,Velmi dobrý,,230 V,Septik,119 m²,Přízemní,G,,,,,,,Obytná,"Silnice, Autobus",Ano,,,,,,,,,,,,,
414507,https://www.remax-czech.cz/reality/detail/414507/prodej-bytu-3-kk-v-osobnim-vlastnictvi-75-m2-praha-5-smichov,"Prodej bytu 3+kk v osobním vlastnictví 75 m², Praha 5 - Smíchov(ID 023-NP08459)","14 550 000
																		CZK/ za nemovitost","kupní cena vč. právního servisu, advokátní úschovy kupní ceny a odměny RK",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 023-NP08459,,,,Byty,Klidná část obce,"50°04'35.3""N,14°24'25.6""E",b730d8b24ce1f8fbf6f3830d42b2ae6e65a968f1aa4800c5e2c528d575ccb61f,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,4,70 m²,,Cihlová,Po rekonstrukci,16. 5. 2025,230 V,Kanalizace,319 m²,,E,3+kk,4,75 m²,Osobní,Dálkový rozvod,Ano,,"Vlak, Silnice, MHD, Autobus",,Plynovod,,,Ano,,,,1,,"Kabelové rozvody, Ostatní rozvody",,,
414541,https://www.remax-czech.cz/reality/detail/414541/prodej-domu-450-m2-zlin,"Prodej domu 450 m², Zlín(ID 223-NP02808)",Cena na vyžádání v kanceláři,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 223-NP02808,,,,Domy a vily,Klidná část obce,"49°12'07""N,17°40'02.2""E",d568dfa1d69b5a1b806e22017866134d62555f65356de4496c00bdd2655d956e,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,450 m²,1 076 m²,Cihlová,Velmi dobrý,,,Kanalizace,200 m²,Přízemní,G,,,,,Dálkový rozvod,Ano,Obytná,,Ano,Plynovod,"Telefon, Internet",,,,876 m²,,1,,"Satelit, Kabelové rozvody",,,
